"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct"
"before_SVSlide_prompt","html-button-response","111","930531","0.0-111.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","2501","Click [Next] to see the next neighborhood!","0","","","","","","","","","","","",""
"street view slide show","image-button-response","112","931533","0.0-112.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_659/IMG_12_659.jpg","null","","","","","","5","","","","","",""
"street view slide show","image-button-response","113","932540","0.0-113.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_659/IMG_4_659.jpg","null","","","","","","5","","","","","",""
"street view slide show","image-button-response","114","933544","0.0-114.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_659/IMG_11_659.jpg","null","","","","","","5","","","","","",""
"street view slide show","image-button-response","115","934553","0.0-115.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_659/IMG_3_659.jpg","null","","","","","","5","","","","","",""
"street view slide show","image-button-response","116","935557","0.0-116.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_659/IMG_14_659.jpg","null","","","","","","5","","","","","",""
"street view slide show","image-button-response","117","936561","0.0-117.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_659/IMG_0_659.jpg","null","","","","","","5","","","","","",""
"street view slide show","image-button-response","118","937566","0.0-118.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_659/IMG_1_659.jpg","null","","","","","","5","","","","","",""
"street view slide show","image-button-response","119","938573","0.0-119.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MA_659/IMG_13_659.jpg","null","","","","","","5","","","","","",""
"dot matrix survey1","survey","120","972268","0.0-120.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","33686","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":3,""safe"":4,""walkable"":2,""traditional"":3,""diverse"":1}}","","","","","","5","[]","","","","",""
"dot matrix survey2","survey","121","998214","0.0-121.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","25941","","{""P0_Q0"":null,""P0_Q1"":{""violence"":0,""crime"":0,""drug"":3,""schools"":1,""opportunities"":3}}","","","","","","5","[]","","","","",""
"dot matrix survey3","survey","122","1023745","0.0-122.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","25527","","{""P0_Q0"":null,""P0_Q1"":{""movein"":4,""moveout"":0,""shopping"":4,""walk"":0,""park"":4,""school"":4}}","","","","","","5","[]","","","","",""
"sliderTrial","html-slider-response","123","1030867","0.0-123.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","7121","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","5","","","","","","5","","4","[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]","5","",""
"sliderTrial","html-slider-response","124","1041520","0.0-124.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","10651","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","5","","","","","","5","","4","[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]","5","",""
"sliderTrial","html-slider-response","125","1045762","0.0-125.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","4241","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","5","","","","","","5","","4","[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]","5","",""
"sliderTrial","html-slider-response","126","1048378","0.0-126.0","","656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb","15","","","","","","","","","","","","2615","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","5","","","","","","5","","4","[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]","5","",""
